QEatZeroRange(deg),   0.0557329
Range,Velocity,Energy,Trajectory,ComeUp,ComeUp,WindDrift,WindDrift,WindDrift,SpinDrift,SpinDrift,SpinDrift,TOF,Gyro,  VertWindJump,VertWindJump,VertWindJump
(Yds)   ,(FPS)   ,(Ft-lb) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(Sec)   ,        ,(In)    ,(MOA)   ,(Mrads) 
        0.,     2760.,     2368.,   -1.5000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    2.2509,   -0.0009,    0.0000,    0.0000
      100.,     2617.,     2129.,   -0.0000,   -0.0000,   -0.0000,    0.5157,    0.4925,    0.1433,   -0.0448,   -0.0428,   -0.0124,    0.1116,    2.4169,    0.3595,    0.3433,    0.0999
      200.,     2479.,     1911.,   -3.5728,   -1.7060,   -0.4962,    2.1128,    1.0089,    0.2934,   -0.1875,   -0.0895,   -0.0260,    0.2294,    2.5903,    0.7190,    0.3433,    0.0999
      300.,     2345.,     1709.,  -12.8004,   -4.0748,   -1.1852,    4.8783,    1.5529,    0.4517,   -0.4414,   -0.1405,   -0.0409,    0.3538,    2.7571,    1.0783,    0.3432,    0.0998
      400.,     2214.,     1524.,  -28.3467,   -6.7678,   -1.9685,    8.9173,    2.1290,    0.6193,   -0.8196,   -0.1957,   -0.0569,    0.4854,    2.9443,    1.4374,    0.3432,    0.0998
      500.,     2086.,     1353.,  -50.9826,   -9.7377,   -2.8324,   14.3524,    2.7413,    0.7974,   -1.3372,   -0.2554,   -0.0743,    0.6250,    3.1561,    1.7964,    0.3431,    0.0998
      600.,     1960.,     1194.,  -81.6086,  -12.9894,   -3.7782,   21.3331,    3.3955,    0.9876,   -2.0107,   -0.3200,   -0.0931,    0.7734,    3.4006,    2.1553,    0.3430,    0.0998
      700.,     1835.,     1047., -121.2834,  -16.5466,   -4.8129,   30.0364,    4.0978,    1.1919,   -2.8593,   -0.3901,   -0.1135,    0.9315,    3.6304,    2.5138,    0.3430,    0.0998
      800.,     1710.,      909., -171.2841,  -20.4472,   -5.9474,   40.7052,    4.8592,    1.4134,   -3.9026,   -0.4659,   -0.1355,    1.1008,    3.9092,    2.8721,    0.3429,    0.0997
      900.,     1586.,      782., -233.1790,  -24.7431,   -7.1969,   53.6331,    5.6911,    1.6553,   -5.1640,   -0.5480,   -0.1594,    1.2830,    4.2226,    3.2301,    0.3428,    0.0997
     1000.,     1462.,      664., -308.9099,  -29.5013,   -8.5809,   69.1764,    6.6063,    1.9216,   -6.6706,   -0.6370,   -0.1853,    1.4800,    4.6642,    3.5879,    0.3426,    0.0997
